Data;Ret_USD;ret_IBOV;ret_CVCB3;;;;;
10/12/2013;0,00;0,00;0,00;;;;;
11/12/2013;0,01;-0,02;-0,01;;;;;
12/12/2013;0,00;0,00;-0,02;;;;;
13/12/2013;0,00;0,00;0,00;;;;;
16/12/2013;0,00;0,00;-0,02;;;;;
17/12/2013;0,00;0,00;-0,01;;;;;
18/12/2013;0,00;0,01;-0,02;;;;;
19/12/2013;0,01;0,01;0,01;;;;;
20/12/2013;0,01;0,01;-0,02;;;;;
23/12/2013;0,00;0,00;-0,01;;;;;
26/12/2013;-0,01;0,00;0,01;;;;;
27/12/2013;0,00;0,00;0,01;;;;;
30/12/2013;0,00;0,00;0,02;;;;;
02/01/2014;0,02;-0,02;0,02;;;;;
03/01/2014;-0,01;0,01;0,02;;;;;
06/01/2014;0,00;0,00;0,01;;;;;
07/01/2014;-0,01;-0,01;0,00;;;;;
08/01/2014;0,01;0,00;-0,01;;;;;
09/01/2014;0,01;-0,02;0,00;;;;;
10/01/2014;-0,01;0,01;0,01;;;;;
13/01/2014;-0,01;-0,01;-0,01;;;;;
14/01/2014;0,01;0,01;-0,01;;;;;
15/01/2014;-0,01;0,01;0,01;;;;;
16/01/2014;0,01;-0,01;-0,02;;;;;
17/01/2014;0,00;-0,01;-0,03;;;;;
20/01/2014;-0,01;-0,01;0,01;;;;;
21/01/2014;0,01;0,00;-0,01;;;;;
22/01/2014;0,00;0,02;0,01;;;;;
23/01/2014;0,01;-0,02;0,00;;;;;
24/01/2014;0,02;-0,01;-0,01;;;;;
27/01/2014;0,00;0,00;-0,01;;;;;
28/01/2014;0,01;0,00;-0,02;;;;;
29/01/2014;0,01;-0,01;-0,03;;;;;
30/01/2014;-0,01;-0,01;0,00;;;;;
31/01/2014;0,00;0,01;0,02;;;;;
03/02/2014;-0,01;-0,03;-0,04;;;;;
04/02/2014;0,00;0,02;0,02;;;;;
05/02/2014;0,00;-0,01;0,01;;;;;
06/02/2014;0,00;0,02;0,00;;;;;
07/02/2014;-0,01;0,01;-0,01;;;;;
10/02/2014;0,00;-0,01;-0,05;;;;;
11/02/2014;0,01;0,02;0,00;;;;;
12/02/2014;0,00;-0,01;0,00;;;;;
13/02/2014;0,01;-0,01;0,04;;;;;
14/02/2014;-0,01;0,01;-0,01;;;;;
17/02/2014;0,00;-0,01;0,00;;;;;
18/02/2014;0,00;-0,02;-0,05;;;;;
19/02/2014;0,00;0,01;-0,04;;;;;
20/02/2014;-0,01;0,00;-0,02;;;;;
21/02/2014;-0,01;0,00;0,01;;;;;
24/02/2014;-0,01;0,00;0,00;;;;;
25/02/2014;0,00;-0,01;0,01;;;;;
26/02/2014;0,00;0,00;0,05;;;;;
27/02/2014;0,00;0,02;0,09;;;;;
28/02/2014;0,00;-0,01;0,00;;;;;
05/03/2014;0,00;-0,01;0,01;;;;;
06/03/2014;-0,01;0,01;0,04;;;;;
07/03/2014;0,01;-0,02;0,00;;;;;
10/03/2014;0,00;-0,02;-0,02;;;;;
11/03/2014;0,00;0,00;-0,02;;;;;
12/03/2014;0,01;0,00;-0,02;;;;;
13/03/2014;-0,01;-0,01;0,01;;;;;
14/03/2014;0,01;-0,01;0,01;;;;;
17/03/2014;-0,01;0,00;0,00;;;;;
18/03/2014;0,00;0,02;0,00;;;;;
19/03/2014;-0,01;0,01;0,01;;;;;
20/03/2014;0,00;0,02;-0,02;;;;;
21/03/2014;-0,01;0,00;0,01;;;;;
24/03/2014;0,00;0,01;-0,01;;;;;
25/03/2014;-0,01;0,00;0,01;;;;;
26/03/2014;0,00;0,00;0,00;;;;;
27/03/2014;-0,01;0,04;0,04;;;;;
28/03/2014;-0,01;0,00;0,03;;;;;
31/03/2014;0,00;0,01;0,00;;;;;
01/04/2014;0,00;0,00;0,00;;;;;
02/04/2014;0,00;0,03;0,02;;;;;
03/04/2014;0,00;-0,01;0,03;;;;;
04/04/2014;-0,02;-0,01;-0,01;;;;;
07/04/2014;0,00;0,02;0,02;;;;;
08/04/2014;-0,02;-0,01;0,00;;;;;
09/04/2014;0,01;-0,01;0,00;;;;;
10/04/2014;-0,01;0,00;0,02;;;;;
11/04/2014;0,00;0,01;0,02;;;;;
14/04/2014;0,00;-0,01;0,04;;;;;
15/04/2014;0,01;-0,02;0,00;;;;;
16/04/2014;0,00;0,01;0,03;;;;;
17/04/2014;0,01;0,02;-0,01;;;;;
22/04/2014;0,00;0,00;-0,01;;;;;
23/04/2014;0,00;-0,01;-0,02;;;;;
24/04/2014;-0,01;0,00;-0,01;;;;;
25/04/2014;0,00;-0,01;-0,02;;;;;
28/04/2014;0,00;0,00;-0,02;;;;;
29/04/2014;-0,01;0,01;0,01;;;;;
30/04/2014;0,01;0,00;0,00;;;;;
02/05/2014;-0,01;0,03;0,00;;;;;
05/05/2014;0,00;0,01;0,00;;;;;
06/05/2014;0,00;0,01;-0,03;;;;;
07/05/2014;0,00;0,01;0,00;;;;;
08/05/2014;-0,01;-0,01;-0,02;;;;;
09/05/2014;0,00;-0,01;-0,01;;;;;
12/05/2014;0,00;0,02;-0,01;;;;;
13/05/2014;0,00;0,00;0,03;;;;;
14/05/2014;0,00;0,01;0,00;;;;;
